id,company
135397,Universal Studios
76341,Village Roadshow Pictures
262500,Summit Entertainment
140607,Lucasfilm
168259,Universal Pictures
281957,Regency Enterprises
87101,Paramount Pictures
286217,Twentieth Century Fox Film Corporation
211672,Universal Pictures
150540,Walt Disney Pictures
206647,Columbia Pictures
76757,Village Roadshow Pictures
264660,DNA Films
257344,Columbia Pictures
99861,Marvel Studios
273248,Double Feature Films
260346,Twentieth Century Fox Film Corporation
102899,Marvel Studios
150689,Walt Disney Pictures
131634,Studio Babelsberg
158852,Walt Disney Pictures
307081,Escape Artists
254128,New Line Cinema
216015,Focus Features
318846,Paramount Pictures
177677,Paramount Pictures
214756,Universal Pictures
207703,Twentieth Century Fox Film Corporation
314365,Participant Media
294254,Gotham Group
280996,BBC Films
198184,Columbia Pictures
254470,Universal Pictures
296098,DreamWorks SKG
257445,Columbia Pictures
264644,Element Pictures
339527,Eden Rock Media
105864,Walt Disney Pictures
241554,Vertigo Entertainment
167073,Wildgaze Films
277216,New Line Cinema
274854,Summit Entertainment
321697,Universal Pictures
203801,Davis Entertainment
293863,Lakeshore Entertainment
325348,Bazelevs Production
228161,Twentieth Century Fox Film Corporation
286565,Fox 2000 Pictures
265208,Current Entertainment
254320,Haut et Court
258480,Killer Films
257211,Waverly Films
253412,Universal Pictures
274479,Fox 2000 Pictures
257088,Studio Babelsberg
295964,Double Feature Films
238615,Endgame Entertainment
210860,Lionsgate
306819,Pretty Pictures
201088,Universal Pictures
273481,Lionsgate
166424,Twentieth Century Fox Film Corporation
310131,Parts and Labor
238713,Twentieth Century Fox Film Corporation
256591,Kramer & Sigman Films
249070,Twentieth Century Fox Film Corporation
205775,Imagine Entertainment
334074,Nu Image Films
312221,New Line Cinema
271718,Universal Pictures
333352,Entertainment One
276907,Working Title Films
284289,Furthur Films
266647,Warner Bros.
347096,Arrowstorm Entertainment
308369,Indian Paintbrush
227973,Blue Sky Studios
321741,Village Roadshow Pictures
296100,Sony Pictures
263472,Universum Film (UFA)
228205,Fox 2000 Pictures
159824,Columbia Pictures
333348,Imagine Entertainment
285783,TriStar Pictures
290764,Temple Hill Entertainment
296099,New Line Cinema
243688,Ghost House Pictures
287424,Lionsgate
301875,Scott Free Productions
181283,Summit Entertainment
328425,Blumhouse Productions
274167,Paramount Pictures
370687,Arrowstorm Entertainment
307663,Grindstone Entertainment Group
309809,Onyx Films
258509,Regency Enterprises
298382,Amazon Studios
272693,Wonderland Sound and Vision
283445,Alliance Films
256961,Columbia Pictures
326359,Walt Disney Pictures
254302,Ingenious Media
241251,Universal Pictures
292040,BBC Films
188222,Warner Bros.
252838,Miramax Films
273477,Paramount Pictures
298312,Blumhouse Productions
261023,Infinitum Nihil
336004,Emmett/Furla Films
287903,Universal Pictures
182560,Denver and Delilah Productions
192141,Bold Films
308639,Forest Whitaker's Significant Productions
261392,Concorde Filmverleih
304357,BBC Films
297291,Universal Pictures
266294,Little Stranger
227719,Paramount Pictures
86828,Premiere Picture
287948,EuropaCorp
201085,Legendary Pictures
277355,Crime Scene Pictures
264999,Warner Bros.
146301,Paramount Pictures
223485,The New Zealand Film Commission
294016,Groundswell Productions
290751,Ingenious Media
309245,RT Features
228165,Paramount Pictures
245706,Plan B Entertainment
272878,Sunswept Entertainment
263109,Aardman Animations
157827,Motlys
321751,Reposado Producciones
266396,StudioCanal
277685,Bazelevs Production
268920,New Line Cinema
280092,Sony Pictures
193687,Palomar Pictures
300803,Raffaella Productions
328589,BBC Films
228066,Twentieth Century Fox Film Corporation
378373,Terra Mater Factual Studios
291270,Starburns Industries
294963,Caliber Media Company
241257,The Weinstein Company
245698,Material Pictures
353326,Animus Films
346808,Thaba Media
250124,Caviar Films
290637,Voltage Films
244458,Studio Babelsberg
308504,Czech Anglo Productions
314405,HanWay Films
282984,Sony Pictures
157843,Benaroya Pictures
275601,Columbia TriStar
290762,S Films
251516,Laser Unicorns
304372,Screen Gems
324807,StudioCanal
252512,Scott Rudin Productions
257091,Gary Sanchez Productions
228968,Umedia
347969,Happy Madison Productions
237756,Parabolic Pictures
293646,Alcon Entertainment
245168,Ruby Films
311291,The Bureau
301351,Working Title Films
248574,A24
225728,Studio Canal
326425,Emmett/Furla Films
342474,MM Productions
277217,Walt Disney Television
207936,Echo Films
250734,Fox Searchlight Pictures
249688,A24
268238,Participant Media
256962,Metanoia Films
322456,Warner Bros. Animation
302528,Serendipity Point Films
222936,Columbia Pictures
316002,K. JAM Media
365806,343 Industries
10317,Participant Media
334538,Rhombus Media
306947,Pandastorm Pictures
328901,KSM
382517,Sony Pictures Animation
310133,Park Pictures
237584,Atlas Independent
288036,Sidney Kimmel Entertainment
354110,Minds Eye Entertainment
331781,On The Corner Films
253161,A Company Filmproduktionsgesellschaft
312831,Prescience
316322,Mattel Playground Productions
301846,Starchild Pictures
306745,Double Feature Films
332340,Big Talk Productions
292431,Wild Bunch
300693,Echo Lake Entertainment
333381,Voltage Pictures
256924,Big Indie Pictures
253414,Shangri-La Entertainment
254172,Andrea Leone Films
320588,Red Crown Productions
157544,Lakeshore Entertainment
283235,Imagenation Abu Dhabi FZ
243938,Paramount Pictures
86835,Waypoint Entertainment
254905,Worldview Entertainment
309242,Electric City Entertainment
332502,New Artists Alliance
286192,Pixar Animation Studios
284674,Automatik Entertainment
360055,Mainstay Productions
352179,Eclectic pictures
246127,Neue Road Movies
338676,Vaca Films
330982,Hepp Film
232572,Wildwood Enterprises
112454,Zed Filmworks
243940,Lionsgate
321528,Warner Bros. Animation
317744,Hyde Park Entertainment
239573,Studio Babelsberg
167810,Bold Films
319075,HBO Documentary Films
316042,Rhombus Media
334527,NeeNee Productions
300153,See-Saw Films
228203,Walt Disney Pictures
332704,Head Gear Films
278236,Original Pictures
276839,Darko Entertainment
326215,Skyline Entertainment
363689,Lighthouse Pictures
318256,Two to Tangle Productions
299245,New Line Cinema
333344,Horsethief Pictures
357096,Cinetel Films
309299,FJ Productions
314385,Plan B Entertainment
333596,Sony Pictures
361042,Sonar Entertainment
353686,Blumhouse Productions
318954,Burns Family Studios
289191,Zentropa Entertainments
324333,Patriot Pictures
252164,Isle of Man Film
360784,Primal Pictures
336313,Freestyle Releasing
240483,British Film Institute (BFI)
321494,Living Films
353595,Warner Bros. Animation
264337,Brookwell-McNamara Entertainment
289716,Myriad Pictures
296065,Skyra Entertainment
337029,Eclectic pictures
317952,The Documentary Group
325358,The Safran Company
272548,Nexus Factory
340275,40 Acres & A Mule Filmworks
309887,Sense and Sensibility Ventures
302429,Lucasfilm
253331,Treehouse Pictures
293771,Di Bonaventura Pictures
323373,The New Zealand Film Commission
323027,DC Comics
297806,Bron Studios
253626,Voltage Pictures
354251,Willowbrook Regent Films
329637,ST Renegades
257444,Chiller Films
355338,Walt Disney Pictures
271736,StudioCanal
309581,A&E Television Networks
293970,Groundswell Productions
279690,Alternate Ending Studios
364067,American Zoetrope
318922,Altitude Film Entertainment
335077,Mr.Monster
266639,Universal Pictures
274504,RabbitBandini Productions
244316,Purple Pictures
352208,Dog Eat Dog Films
283587,Participant Media
311539,Copperheart Entertainment
277713,Iris productions
347945,Pop Films
344854,Kojo Pictures
234212,Icon Entertainment International
283596,Sigma Films Ltd.
250225,Pioneer Pictures
307479,WANGO Films
339145,Varient Busted Buggy Entertainmen
323660,The Asylum
308638,Ealing Studios
359983,Walt Disney Television Animation
300155,Ecosse Films
328595,Fox Digital Studios
327528,New Real Films
